"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star","SRI","Labelled energy consumption (kWh/year)","Sold In Aus","screensize_inch","GeneralSize"
"BLAUPUNKT","BP650USG9700Q","Australia",163.927,"LCD (LED)",96.9,"N/A","N/A",370,1,65,"Large"
"BLAUPUNKT","BP650USG9500","Australia",163.791,"LCD (LED)",134.4,"N/A","N/A",580,1,64,"Large"
"BLAUPUNKT","BP750USG9500","Australia",189.442,"LCD (LED)",191.4,"N/A","N/A",758,1,75,"Large"
"BLAUPUNKT","BP750USG9700Q","Australia",189.1,"LCD (LED)",126,"N/A","N/A",485,1,74,"Large"
"kogan","KALED65XU9220STA","Australia,Fiji,New Zealand",163.829,"LCD",104,"N/A","N/A",382,1,64,"Large"
"Sony","XR-85Z9J","Australia,New Zealand",214.783,"LCD (LED)",412,"N/A","N/A",1520,1,85,"Large"
"Sony","XR-83A90J","Australia,New Zealand",209.636,"LCD (LED)",207,"N/A","N/A",765,1,83,"Large"
"DGTEC","DG65UHDNF","Australia,Fiji,New Zealand",163.896,"LCD (LED)",93.528,"N/A","N/A",362,1,65,"Large"
"SAMSUNG ELECTRONICS","QA65QN90AAW","Australia,Fiji,New Zealand",163.829,"LCD (LED)",203,"N/A","N/A",744,1,64,"Large"
"SAMSUNG ELECTRONICS","QA65QN90AAS","Australia,Fiji,New Zealand",163.829,"LCD (LED)",203,"N/A","N/A",744,1,64,"Large"
"SAMSUNG ELECTRONICS","QA65QN90AA","Australia,Fiji,New Zealand",163.829,"LCD (LED)",203,"N/A","N/A",744,1,64,"Large"
"SAMSUNG ELECTRONICS","QA50LS01TAW","Australia,Fiji,New Zealand",125.725,"LCD (LED)",91,"N/A","N/A",335,1,49,"Large"
"SAMSUNG ELECTRONICS","QA50LS01TAS","Australia,Fiji,New Zealand",125.725,"LCD (LED)",91,"N/A","N/A",335,1,49,"Large"
"SAMSUNG ELECTRONICS","QA50LS01TA","Australia,Fiji,New Zealand",125.725,"LCD (LED)",91,"N/A","N/A",335,1,49,"Large"
"EKO","K75USW","Australia",189.266,"LCD (LED)",204.42,"N/A","N/A",760,1,75,"Large"
"EKO","K58USG","Australia",146.059,"LCD (LED)",98.85,"N/A","N/A",370,1,58,"Large"
"EKO","K65USG","Australia",163.888,"LCD (LED)",129.96,"N/A","N/A",485,1,65,"Large"
"BLAUPUNKT","BP580USG9300","Australia",146.059,"LCD (LED)",98.85,"N/A","N/A",370,1,58,"Large"
"JVC","AV-H323115A","Australia,Fiji",80.054,"LCD (LED)",26,"N/A","N/A",130,1,32,"Large"
"BAUHN","ATV58UHDW-0421","Australia",146.068,"LCD (LED)",76.37,"N/A","N/A",301,1,58,"Large"
"JVC","AV-H437115A","Australia,Fiji",107.901,"LCD (LED)",58,"N/A","N/A",235,1,42,"Large"
"JVC","AV-H587115A","Australia,Fiji",145.865,"LCD (LED)",105.8,"N/A","N/A",468,1,57,"Large"
"JVC","AV-H657115A","Australia,Fiji",163.791,"LCD (LED)",134.4,"N/A","N/A",580,1,64,"Large"
